,length,occurrence
0,1.64,3
3,1.65,2
5,1.66,14
19,1.7,1
20,1.71,1
21,1.77,6
27,1.78,5
32,1.79,17
49,1.8,11
60,1.84,24
84,1.85,30
114,1.86,24
138,1.87,24
162,1.88,16
178,1.89,32
210,1.9,18
228,1.91,14
242,1.92,18
260,1.93,2
262,1.94,11
273,1.95,10
283,1.96,6
289,1.97,5
294,1.98,27
321,1.99,18
339,2.0,6
345,2.01,10
355,2.02,48
403,2.03,12
415,2.04,34
449,2.05,41
490,2.06,10
500,2.07,83
583,2.08,76
659,2.09,91
750,2.1,84
834,2.11,54
888,2.12,46
934,2.13,103
1037,2.14,40
1077,2.15,95
1172,2.16,85
1257,2.17,108
1365,2.18,250
1615,2.19,137
1752,2.2,438
2190,2.21,287
2477,2.22,105
2582,2.23,165
2747,2.24,263
3010,2.25,192
3202,2.26,314
3516,2.27,206
3722,2.28,151
3873,2.29,98
3971,2.3,162
4133,2.31,155
4288,2.32,188
4476,2.33,209
4685,2.34,822
5507,2.35,1247
6754,2.36,2721
9475,2.37,428
9903,2.38,216
10119,2.39,264
10383,2.4,197
10580,2.41,304
10884,2.42,157
11041,2.43,160
11201,2.44,192
11393,2.45,202
11595,2.46,391
11986,2.47,217
12203,2.48,168
12371,2.49,228
12599,2.5,196
12795,2.51,132
12927,2.52,268
13195,2.53,84
13279,2.54,157
13436,2.55,181
13617,2.56,122
13739,2.57,38
13777,2.58,70
13847,2.59,73
13920,2.6,43
13963,2.61,56
14019,2.62,75
14094,2.63,41
14135,2.64,51
14186,2.65,15
14201,2.66,54
14255,2.67,66
14321,2.68,72
14393,2.69,52
14445,2.7,29
14474,2.71,52
14526,2.72,579
15105,2.73,39
15144,2.74,5
15149,2.75,17
15166,2.76,3
15169,2.77,134
15303,2.78,74
15377,2.79,24
15401,2.8,38
15439,2.81,42
15481,2.82,46
15527,2.83,43
15570,2.84,47
15617,2.85,28
15645,2.86,51
15696,2.87,7
15703,2.88,34
15737,2.89,41
15778,2.9,36
15814,2.91,56
15870,2.92,20
15890,2.93,4
15894,2.95,68
15962,2.97,28
15990,2.98,2
15992,2.99,32
16024,3.0,65
16089,3.01,8
16097,3.02,2
16099,3.03,24
16123,3.04,30
16153,3.05,7
16160,3.06,5
16165,3.08,39
16204,3.09,23
16227,3.1,20
16247,3.11,30
16277,3.12,18
16295,3.13,5
16300,3.14,36
16336,3.15,9
16345,3.17,73
16418,3.18,56
16474,3.19,39
16513,3.2,50
16563,3.21,18
16581,3.23,18
16599,3.26,8
16607,3.27,10
16617,3.28,4
16621,3.29,1
16622,3.3,5
16627,3.31,7
16634,3.32,26
16660,3.33,7
16667,3.34,16
16683,3.35,48
16731,3.37,7
16738,3.38,25
16763,3.39,29
16792,3.4,26
16818,3.41,31
16849,3.42,14
16863,3.43,30
16893,3.44,67
16960,3.45,55
17015,3.46,74
17089,3.47,33
17122,3.48,94
17216,3.49,9
17225,3.5,22
17247,3.51,7
17254,3.52,29
17283,3.53,18
17301,3.54,42
17343,3.55,24
17367,3.56,18
17385,3.57,12
17397,3.58,6
17403,3.59,40
17443,3.6,46
17489,3.61,2
17491,3.62,24
17515,3.63,26
17541,3.65,25
17566,3.66,30
17596,3.67,3
17599,3.68,53
17652,3.69,23
17675,3.7,22
17697,3.71,16
17713,3.72,22
17735,3.73,46
17781,3.74,3
17784,3.75,6
17790,3.76,6
17796,3.77,28
17824,3.78,24
17848,3.79,32
17880,3.8,12
17892,3.81,12
17904,3.82,9
17913,3.83,35
17948,3.84,35
17983,3.85,9
17992,3.86,25
18017,3.87,21
18038,3.88,25
18063,3.89,3
18066,3.9,39
18105,3.91,42
18147,3.92,54
18201,3.93,4
18205,3.94,28
18233,3.95,75
18308,3.96,13
18321,3.97,24
18345,3.98,8
18353,3.99,26
